,Unnamed: 0,Success,Month,Day,Year,Country,DefCity,DefCountry,Latitude,Longitude,StationIDs,MinTemp,MaxTemp,MeanTemp,MinAirTemp,SunDuration,MeanCloudCover,MeanCloudVapor,MeanRelHumid,PrecipHeight,PrecipForm,MeanPressure,SnowDepth
3,3,0,9,3,1939,United Kingdom,Wilhelmshaven,Germany,53.53234,8.106872,"[44, 78, 102, 172, 185, 243, 294, 326, 327, 342, 368, 553, 554, 588, 592, 614, 617, 619, 642, 643, 645, 648, 691, 699, 701, 702, 703, 704, 705, 760, 769, 848, 850, 865, 891, 954, 963, 1053, 1130, 1172, 1200, 1204, 1219, 1221, 1228, 1246, 1266, 1299, 1378, 1379, 1380, 1451, 1503, 1666, 1667, 1766, 1891, 1892, 1973, 1975, 1981, 1987, 1993, 2014, 2048, 2078, 2115, 2122, 2147, 2173, 2206, 2264, 2297, 2303, 2323, 2324, 2338, 2374, 2429, 2437, 2456, 2464, 2494, 2565, 2689, 2703, 2821, 2861, 2872, 2906, 2907, 2912, 3023, 3028, 3031, 3032, 3044, 3045, 3101, 3222, 3227, 3236, 3254, 3348, 3404, 3537, 3612, 3631, 3639, 3640, 3744, 3753, 3790, 3791, 3815, 3867, 4029, 4038, 4039, 4063, 4100, 4156, 4174, 4275, 4288, 4367, 4371, 4391, 4393, 4401, 4442, 4466, 4468, 4629, 4745, 4841, 4857, 4896, 5014, 5067, 5236, 5252, 5279, 5344, 5480, 5514, 5575, 5640, 5715, 5732, 5821, 5822, 5839, 5930, 6105, 6157, 6159, 6184, 6197, 6337, 7106, 7298, 7367, 7373, 7374, 7427, 13675, 13696, 13776, 13903, 13904, 15526, 16085]",59.12,78.02,67.868,55.295,7.75714285714,4.5,17.1533333333,73.8,1.43333333333,0.0,1011.78333333,0.0
4,4,0,9,3,1939,United Kingdom,Wilhelmshaven,Germany,53.53234,8.106872,"[44, 78, 102, 172, 185, 243, 294, 326, 327, 342, 368, 553, 554, 588, 592, 614, 617, 619, 642, 643, 645, 648, 691, 699, 701, 702, 703, 704, 705, 760, 769, 848, 850, 865, 891, 954, 963, 1053, 1130, 1172, 1200, 1204, 1219, 1221, 1228, 1246, 1266, 1299, 1378, 1379, 1380, 1451, 1503, 1666, 1667, 1766, 1891, 1892, 1973, 1975, 1981, 1987, 1993, 2014, 2048, 2078, 2115, 2122, 2147, 2173, 2206, 2264, 2297, 2303, 2323, 2324, 2338, 2374, 2429, 2437, 2456, 2464, 2494, 2565, 2689, 2703, 2821, 2861, 2872, 2906, 2907, 2912, 3023, 3028, 3031, 3032, 3044, 3045, 3101, 3222, 3227, 3236, 3254, 3348, 3404, 3537, 3612, 3631, 3639, 3640, 3744, 3753, 3790, 3791, 3815, 3867, 4029, 4038, 4039, 4063, 4100, 4156, 4174, 4275, 4288, 4367, 4371, 4391, 4393, 4401, 4442, 4466, 4468, 4629, 4745, 4841, 4857, 4896, 5014, 5067, 5236, 5252, 5279, 5344, 5480, 5514, 5575, 5640, 5715, 5732, 5821, 5822, 5839, 5930, 6105, 6157, 6159, 6184, 6197, 6337, 7106, 7298, 7367, 7373, 7374, 7427, 13675, 13696, 13776, 13903, 13904, 15526, 16085]",59.12,78.02,67.868,55.295,7.75714285714,4.5,17.1533333333,73.8,1.43333333333,0.0,1011.78333333,0.0
5,5,0,9,4,1939,United Kingdom,Wilhelmshaven,Germany,53.53234,8.106872,"[44, 78, 102, 172, 185, 243, 294, 326, 327, 342, 368, 553, 554, 588, 592, 614, 617, 619, 642, 643, 645, 648, 691, 699, 701, 702, 703, 704, 705, 760, 769, 848, 850, 865, 891, 954, 963, 1053, 1130, 1172, 1200, 1204, 1219, 1221, 1228, 1246, 1266, 1299, 1378, 1379, 1380, 1451, 1503, 1666, 1667, 1766, 1891, 1892, 1973, 1975, 1981, 1987, 1993, 2014, 2048, 2078, 2115, 2122, 2147, 2173, 2206, 2264, 2297, 2303, 2323, 2324, 2338, 2374, 2429, 2437, 2456, 2464, 2494, 2565, 2689, 2703, 2821, 2861, 2872, 2906, 2907, 2912, 3023, 3028, 3031, 3032, 3044, 3045, 3101, 3222, 3227, 3236, 3254, 3348, 3404, 3537, 3612, 3631, 3639, 3640, 3744, 3753, 3790, 3791, 3815, 3867, 4029, 4038, 4039, 4063, 4100, 4156, 4174, 4275, 4288, 4367, 4371, 4391, 4393, 4401, 4442, 4466, 4468, 4629, 4745, 4841, 4857, 4896, 5014, 5067, 5236, 5252, 5279, 5344, 5480, 5514, 5575, 5640, 5715, 5732, 5821, 5822, 5839, 5930, 6105, 6157, 6159, 6184, 6197, 6337, 7106, 7298, 7367, 7373, 7374, 7427, 13675, 13696, 13776, 13903, 13904, 15526, 16085]",58.568,69.836,63.512,56.735,1.95714285714,6.57333333333,15.94,79.2666666667,8.81333333333,1.0,1010.03333333,0.0
6,6,0,9,4,1939,United Kingdom,Wilhelmshaven,Germany,53.53234,8.106872,"[44, 78, 102, 172, 185, 243, 294, 326, 327, 342, 368, 553, 554, 588, 592, 614, 617, 619, 642, 643, 645, 648, 691, 699, 701, 702, 703, 704, 705, 760, 769, 848, 850, 865, 891, 954, 963, 1053, 1130, 1172, 1200, 1204, 1219, 1221, 1228, 1246, 1266, 1299, 1378, 1379, 1380, 1451, 1503, 1666, 1667, 1766, 1891, 1892, 1973, 1975, 1981, 1987, 1993, 2014, 2048, 2078, 2115, 2122, 2147, 2173, 2206, 2264, 2297, 2303, 2323, 2324, 2338, 2374, 2429, 2437, 2456, 2464, 2494, 2565, 2689, 2703, 2821, 2861, 2872, 2906, 2907, 2912, 3023, 3028, 3031, 3032, 3044, 3045, 3101, 3222, 3227, 3236, 3254, 3348, 3404, 3537, 3612, 3631, 3639, 3640, 3744, 3753, 3790, 3791, 3815, 3867, 4029, 4038, 4039, 4063, 4100, 4156, 4174, 4275, 4288, 4367, 4371, 4391, 4393, 4401, 4442, 4466, 4468, 4629, 4745, 4841, 4857, 4896, 5014, 5067, 5236, 5252, 5279, 5344, 5480, 5514, 5575, 5640, 5715, 5732, 5821, 5822, 5839, 5930, 6105, 6157, 6159, 6184, 6197, 6337, 7106, 7298, 7367, 7373, 7374, 7427, 13675, 13696, 13776, 13903, 13904, 15526, 16085]",58.568,69.836,63.512,56.735,1.95714285714,6.57333333333,15.94,79.2666666667,8.81333333333,1.0,1010.03333333,0.0
11,11,1,12,18,1939,Germany,Wilhelmshaven,Germany,53.53234,8.106872,"[44, 78, 102, 172, 185, 243, 294, 326, 327, 342, 368, 553, 554, 588, 592, 614, 617, 619, 642, 643, 645, 648, 691, 699, 701, 702, 703, 704, 705, 760, 769, 848, 850, 865, 891, 954, 963, 1053, 1130, 1172, 1200, 1204, 1219, 1221, 1228, 1246, 1266, 1299, 1378, 1379, 1380, 1451, 1503, 1666, 1667, 1766, 1891, 1892, 1973, 1975, 1981, 1987, 1993, 2014, 2048, 2078, 2115, 2122, 2147, 2173, 2206, 2264, 2297, 2303, 2323, 2324, 2338, 2374, 2429, 2437, 2456, 2464, 2494, 2565, 2689, 2703, 2821, 2861, 2872, 2906, 2907, 2912, 3023, 3028, 3031, 3032, 3044, 3045, 3101, 3222, 3227, 3236, 3254, 3348, 3404, 3537, 3612, 3631, 3639, 3640, 3744, 3753, 3790, 3791, 3815, 3867, 4029, 4038, 4039, 4063, 4100, 4156, 4174, 4275, 4288, 4367, 4371, 4391, 4393, 4401, 4442, 4466, 4468, 4629, 4745, 4841, 4857, 4896, 5014, 5067, 5236, 5252, 5279, 5344, 5480, 5514, 5575, 5640, 5715, 5732, 5821, 5822, 5839, 5930, 6105, 6157, 6159, 6184, 6197, 6337, 7106, 7298, 7367, 7373, 7374, 7427, 13675, 13696, 13776, 13903, 13904, 15526, 16085]",16.22,28.424,22.676,13.7923076923,2.775,2.18,3.52,83.8,0.0,0.0,1021.31666667,0.0666666666667
18,18,1,5,15,1940,United Kingdom,Ruhr,Germany,51.37315,7.629154,"[3, 44, 78, 91, 93, 98, 150, 161, 172, 186, 193, 202, 211, 294, 326, 330, 342, 348, 355, 386, 390, 450, 458, 480, 502, 535, 553, 554, 555, 588, 598, 599, 601, 603, 614, 617, 642, 643, 645, 685, 691, 699, 717, 727, 736, 743, 755, 766, 769, 771, 793, 817, 829, 865, 917, 918, 919, 920, 927, 953, 963, 964, 979, 1032, 1053, 1072, 1073, 1078, 1079, 1084, 1087, 1093, 1201, 1204, 1219, 1221, 1229, 1238, 1246, 1287, 1300, 1303, 1327, 1403, 1420, 1421, 1424, 1425, 1503, 1504, 1513, 1572, 1580, 1590, 1593, 1619, 1638, 1639, 1645, 1748, 1766, 1863, 1891, 1892, 1920, 1964, 1993, 2000, 2080, 2081, 2083, 2092, 2110, 2147, 2167, 2173, 2211, 2264, 2318, 2323, 2324, 2327, 2338, 2362, 2385, 2422, 2474, 2480, 2483, 2486, 2494, 2497, 2532, 2533, 2536, 2601, 2629, 2657, 2665, 2667, 2693, 2703, 2717, 2790, 2843, 2872, 2947, 2968, 3004, 3007, 3017, 3018, 3023, 3028, 3031, 3042, 3044, 3045, 3056, 3062, 3076, 3096, 3098, 3101, 3137, 3155, 3164, 3167, 3212, 3222, 3227, 3228, 3236, 3246, 3254, 3265, 3274, 3284, 3287, 3291, 3300, 3313, 3319, 3320, 3340, 3404, 3442, 3490, 3527, 3540, 3541, 3590, 3591, 3595, 3612, 3623, 3640, 3658, 3659, 3660, 3744, 3753, 3776, 3790, 3791, 3815, 3825, 3867, 3903, 3904, 4029, 4063, 4100, 4127, 4154, 4157, 4174, 4233, 4240, 4275, 4288, 4301, 4323, 4367, 4371, 4396, 4397, 4401, 4411, 4425, 4442, 4474, 4479, 4480, 4490, 4508, 4560, 4586, 4649, 4692, 4709, 4729, 4741, 5014, 5029, 5064, 5067, 5099, 5100, 5133, 5236, 5252, 5277, 5279, 5296, 5300, 5347, 5361, 5410, 5426, 5433, 5480, 5498, 5540, 5541, 5543, 5568, 5582, 5583, 5610, 5681, 5692, 5715, 5717, 5719, 5821, 5822, 5871, 5906, 5912, 5920, 6159, 6186, 6197, 6264, 6337, 6344, 7106, 7187, 7330, 7341, 7374, 7396, 7410, 7412, 13670, 13675, 13696, 13700, 13713, 14311, 15000, 15207, 15963, 15979]",45.4573684211,68.1894736842,56.7831578947,42.44,12.2666666667,2.38684210526,9.71111111111,62.6111111111,0.00526315789474,0.0,984.091304348,0.0
19,19,1,5,19,1940,France,Berlin,Germany,52.52001,13.40495,"[116, 129, 131, 164, 167, 169, 184, 207, 222, 288, 298, 303, 314, 395, 399, 400, 402, 403, 405, 407, 408, 410, 416, 417, 420, 422, 424, 425, 427, 429, 430, 432, 433, 434, 435, 445, 524, 550, 650, 833, 853, 876, 879, 880, 888, 948, 965, 991, 1000, 1001, 1003, 1047, 1048, 1050, 1051, 1052, 1074, 1106, 1182, 1345, 1426, 1441, 1552, 1583, 1605, 1612, 1684, 1694, 1709, 1757, 1758, 1759, 1761, 1762, 1803, 1869, 1890, 1957, 1960, 2166, 2225, 2252, 2289, 2302, 2315, 2354, 2436, 2444, 2451, 2475, 2506, 2578, 2621, 2627, 2641, 2701, 2704, 2794, 2796, 2856, 2878, 2928, 2931, 2932, 2951, 2963, 2985, 3015, 3082, 3083, 3126, 3158, 3160, 3166, 3196, 3226, 3234, 3289, 3376, 3426, 3478, 3509, 3552, 3577, 3788, 3811, 3818, 3821, 3883, 3915, 3987, 3988, 4024, 4036, 4079, 4149, 4222, 4271, 4464, 4606, 4612, 4642, 4782, 4977, 4997, 5009, 5024, 5068, 5097, 5109, 5142, 5282, 5349, 5431, 5442, 5463, 5546, 5624, 5629, 5642, 5643, 5663, 5728, 5745, 5750, 5761, 5778, 5779, 5797, 5825, 6086, 6095, 6109, 6110, 6112, 6129, 6170, 6199, 6265, 6273, 6310, 6314, 7244, 7329, 7343, 7351, 7364, 7389, 7393, 7419, 7420, 13711, 14138]",41.09,61.1027272727,51.4314285714,38.9428571429,8.6,4.89,7.86111111111,61.8947368421,0.709090909091,0.0,999.964705882,0.0
24,24,1,6,7,1940,France,Berlin,Germany,52.52001,13.40495,"[116, 129, 131, 164, 167, 169, 184, 207, 222, 288, 298, 303, 314, 395, 399, 400, 402, 403, 405, 407, 408, 410, 416, 417, 420, 422, 424, 425, 427, 429, 430, 432, 433, 434, 435, 445, 524, 550, 650, 833, 853, 876, 879, 880, 888, 948, 965, 991, 1000, 1001, 1003, 1047, 1048, 1050, 1051, 1052, 1074, 1106, 1182, 1345, 1426, 1441, 1552, 1583, 1605, 1612, 1684, 1694, 1709, 1757, 1758, 1759, 1761, 1762, 1803, 1869, 1890, 1957, 1960, 2166, 2225, 2252, 2289, 2302, 2315, 2354, 2436, 2444, 2451, 2475, 2506, 2578, 2621, 2627, 2641, 2701, 2704, 2794, 2796, 2856, 2878, 2928, 2931, 2932, 2951, 2963, 2985, 3015, 3082, 3083, 3126, 3158, 3160, 3166, 3196, 3226, 3234, 3289, 3376, 3426, 3478, 3509, 3552, 3577, 3788, 3811, 3818, 3821, 3883, 3915, 3987, 3988, 4024, 4036, 4079, 4149, 4222, 4271, 4464, 4606, 4612, 4642, 4782, 4977, 4997, 5009, 5024, 5068, 5097, 5109, 5142, 5282, 5349, 5431, 5442, 5463, 5546, 5624, 5629, 5642, 5643, 5663, 5728, 5745, 5750, 5761, 5778, 5779, 5797, 5825, 6086, 6095, 6109, 6110, 6112, 6129, 6170, 6199, 6265, 6273, 6310, 6314, 7244, 7329, 7343, 7351, 7364, 7389, 7393, 7419, 7420, 13711, 14138]",52.8309090909,77.4090909091,66.6090909091,51.6457142857,13.9153846154,2.21428571429,13.9166666667,64.3,0.0,0.0,997.572222222,0.0
30,30,1,8,25,1940,United Kingdom,Berlin,Germany,52.52001,13.40495,"[116, 129, 131, 164, 167, 169, 184, 207, 222, 288, 298, 303, 314, 395, 399, 400, 402, 403, 405, 407, 408, 410, 416, 417, 420, 422, 424, 425, 427, 429, 430, 432, 433, 434, 435, 445, 524, 550, 650, 833, 853, 876, 879, 880, 888, 948, 965, 991, 1000, 1001, 1003, 1047, 1048, 1050, 1051, 1052, 1074, 1106, 1182, 1345, 1426, 1441, 1552, 1583, 1605, 1612, 1684, 1694, 1709, 1757, 1758, 1759, 1761, 1762, 1803, 1869, 1890, 1957, 1960, 2166, 2225, 2252, 2289, 2302, 2315, 2354, 2436, 2444, 2451, 2475, 2506, 2578, 2621, 2627, 2641, 2701, 2704, 2794, 2796, 2856, 2878, 2928, 2931, 2932, 2951, 2963, 2985, 3015, 3082, 3083, 3126, 3158, 3160, 3166, 3196, 3226, 3234, 3289, 3376, 3426, 3478, 3509, 3552, 3577, 3788, 3811, 3818, 3821, 3883, 3915, 3987, 3988, 4024, 4036, 4079, 4149, 4222, 4271, 4464, 4606, 4612, 4642, 4782, 4977, 4997, 5009, 5024, 5068, 5097, 5109, 5142, 5282, 5349, 5431, 5442, 5463, 5546, 5624, 5629, 5642, 5643, 5663, 5728, 5745, 5750, 5761, 5778, 5779, 5797, 5825, 6086, 6095, 6109, 6110, 6112, 6129, 6170, 6199, 6265, 6273, 6310, 6314, 7244, 7329, 7343, 7351, 7364, 7389, 7393, 7419, 7420, 13711, 14138]",48.7563636364,63.5818181818,57.1571428571,47.0428571429,2.97857142857,7.38,13.4611111111,85.8421052632,1.50909090909,1.0,1004.05882353,0.0
37,37,1,1,21,1941,Germany,Berlin,Germany,52.52001,13.40495,"[116, 129, 131, 164, 167, 169, 184, 207, 222, 288, 298, 303, 314, 395, 399, 400, 402, 403, 405, 407, 408, 410, 416, 417, 420, 422, 424, 425, 427, 429, 430, 432, 433, 434, 435, 445, 524, 550, 650, 833, 853, 876, 879, 880, 888, 948, 965, 991, 1000, 1001, 1003, 1047, 1048, 1050, 1051, 1052, 1074, 1106, 1182, 1345, 1426, 1441, 1552, 1583, 1605, 1612, 1684, 1694, 1709, 1757, 1758, 1759, 1761, 1762, 1803, 1869, 1890, 1957, 1960, 2166, 2225, 2252, 2289, 2302, 2315, 2354, 2436, 2444, 2451, 2475, 2506, 2578, 2621, 2627, 2641, 2701, 2704, 2794, 2796, 2856, 2878, 2928, 2931, 2932, 2951, 2963, 2985, 3015, 3082, 3083, 3126, 3158, 3160, 3166, 3196, 3226, 3234, 3289, 3376, 3426, 3478, 3509, 3552, 3577, 3788, 3811, 3818, 3821, 3883, 3915, 3987, 3988, 4024, 4036, 4079, 4149, 4222, 4271, 4464, 4606, 4612, 4642, 4782, 4977, 4997, 5009, 5024, 5068, 5097, 5109, 5142, 5282, 5349, 5431, 5442, 5463, 5546, 5624, 5629, 5642, 5643, 5663, 5728, 5745, 5750, 5761, 5778, 5779, 5797, 5825, 6086, 6095, 6109, 6110, 6112, 6129, 6170, 6199, 6265, 6273, 6310, 6314, 7244, 7329, 7343, 7351, 7364, 7389, 7393, 7419, 7420, 13711, 14138]",30.7823529412,39.7717647059,37.0929411765,28.9657142857,0.0285714285714,7.7375,6.36666666667,85.125,1.81176470588,1.0,974.2,19.1875
