,Success,Month,Day,Year,Country,DefCity,DefCountry,Latitude,Longitude,Details
0,1,9,1,1939,Germany,Wielun,Poland,51.2186,18.56892,At 4:40am the Luftwaffe starts World War II with the terror bombing of the Polish city of Wieluń. At 8:00am German ground forces cross the Polish border launching the invasion of Poland.
1,1,9,1,1939,Germany,Warsaw,Poland,52.22968,21.01223,The Luftwaffe begins operation Wasserkante as part of the invasion of Poland.  The first air attacks against Warsaw start.
2,1,9,2,1939,Poland,Olawa,Poland,50.94593,17.2924,Single PZL.23B of the 21st Squadron of Polish Air Force bombs a factory in Ohlau. The attack represented the first Allied bombing raid to be conducted against a target in territory within the Third Reich.
3,0,9,3,1939,United Kingdom,Wilhelmshaven,Germany,53.53234,8.106872,"Flying officer Andrew McPherson is the first RAF pilot to cross the German coast after Britain declared war on Nazi Germany. Flying a Bristol Blenheim from 139 Squadron, his mission is to identify German maritime targets around Wilhelmshaven."
4,0,9,3,1939,United Kingdom,Wilhelmshaven,Germany,53.53234,8.106872,The RAF launches its first raid of the war over Germany territory. Eighteen Handley Page Hampdens and nine Vickers Wellingtons are sent to attack the German warships moored at the Wilhelmshaven naval base. However poor visibility prevents the bombers from finding any targets before nightfall so they return.
5,0,9,4,1939,United Kingdom,Wilhelmshaven,Germany,53.53234,8.106872,The RAF launches another bombing operation against German shipping. Fourteen Wellingtons from 9 and 149 Squadrons attack Brunsbuttel and 15 Bristol Blenheims from 107 and 110 Squadrons raid Wilhelmshaven bay. Five Blenheims and three Vickers Wellingtons are shot down through a combination of Messerschmitt Bf 109s and flak. They become the first British aircraft casualties on the Western Front.
6,0,9,4,1939,United Kingdom,Wilhelmshaven,Germany,53.53234,8.106872,"The first British airman to be taken prisoner was Sergeant George Booth, a RAF Observer from 107 Squadron. He was captured after his Bristol Blenheim was shot down over the German coast."
7,1,9,13,1939,Germany,Frampol,Poland,50.67155,22.67065,The Bombing of Frampol was the war's first area bombardment
8,1,9,20,1939,United Kingdom,Over Germany - France Border,Unknown,Unknown,Unknown,"The first recorded RAF ""kill"" of the Second World War is claimed by air observer Sergeant F Letchford aboard a Fairey Battle flown by Flying Officer LH Baker from 88 Squadron."
9,1,9,27,1939,Germany,Warsaw ,Poland,52.22968,21.01223,"The Luftwaffe ceases its bombing campaign against Warsaw after its Polish garrison surrenders to German forces. Approximately 1,150 sorties were flown by a wide variety of aircraft, including obsolete Junkers Ju 52/3m bombers."
10,1,11,30,1939,Soviet Union,Helsinki,Finland,60.16986,24.93838,"The Winter War between Soviet Union and Finland starts. Three hours after Soviet forces had crossed the border and started the Winter War, Helsinki is bombed.  Throughout the war, the Soviet Union has the air superiority and several cities in Finland are targeted."
11,1,12,18,1939,Germany,Wilhelmshaven,Germany,53.53234,8.106872,"The first use of radar for defence (an ""experimental Freya radar"") gave warning of RAF bombers near the German Bight as they made an attack on Wilhelmshaven. However the German fighters were not permitted to intercept until visual confirmation was made - the bombers were attacked after they had dropped their bombs."
12,1,4,21,1940,Germany,Dombas ,Norway,62.07577,9.127964,A bombing raid on Norway kills the first American military officer killed in World War II.
13,1,5,13,1940,Germany,Paris,France,48.85661,2.352222,Luftflotte 3 (supported by Luftflotte 2) in the Battle of France executed the heaviest air bombardment to date (300 sorties)--the most intense by World War II Luftwaffe.
14,1,5,14,1940,Germany,Maastricht ,Germany ,50.84911,5.690303,"Under cover of Adolf Galland's air wing and after dummy paratroopers were airdropped (imitating battle noises after landing), Fort Eben-Emael was taken by glider troops in Belgium."
15,1,5,14,1940,Germany,Rotterdam,Netherlands,51.92442,4.477733,The Rotterdam Blitz ended the Battle of the Netherlands
16,1,5,15,1943,United Kingdom,Unknown,Unknown,Unknown,Unknown,"A kill shared by French pilot Rene Mouchotte and Englishman Jack Charles becomes the 1,000th victim of Biggin Hill fighters--Vickers threw a ""fabulous party"""
17,0,5,15,1940,United Kingdom,Unknown,Unknown,Unknown,Unknown,"The RAF lost the 100th of its France-based bombers. In 72 hours, it had lost half of its offensive force."
18,1,5,15,1940,United Kingdom,Ruhr,Germany,51.37315,7.629154,"In the 1st large-scale World War II strategic bombing and the 1st attack on the German ""backcountry"", just 24 of 96 dispatched bombers found the Ruhr Area power stations and refineries."
19,1,5,19,1940,France,Berlin,Germany,52.52001,13.40495,French fighters strafed advanced columns of Operation Abendsegen
20,1,5,,1940,Germany,Dunkirk ,France,51.03437,2.376776,"Heinkels bombarded the Dunkirk perimeter followed by Stukas and Dorniers:  opposition included the ""first major encounter""  by Spitfires of No. 74 Squadron RAF."
21,1,5,27,1940,United Kingdom,Unknown,Unknown,Unknown,Unknown,A No. 10 Squadron RAF Whitley tail gunner was the first in the RAF to down a German fighter.
22,1,6,2,1940,United Kingdom,Calais,France,50.95129,1.858686," Robert Stanford Tuck led a wing of Spitfires from RAF Martlesham Heath, the first ""big formation"" of the war, against 8 Heinkel IIIs and about 25 Messerschmitt Bf 109s over the Calais area.8"
23,1,6,3,1940,Germany,Paris,France,48.85661,2.352222,"Operation Paula was Nazi Germany's ""single attempt at strategic air warfare during the French campaign."""
24,1,6,7,1940,France,Berlin,Germany,52.52001,13.40495,French Air Force raid is the first against Berlin.
25,1,6,9,1940,Germany,Paris,France,48.85661,2.352222,Germany attains air supremacy in the Battle of France
26,1,6,11,1940,United Kingdom,Turin,Italy,45.07034,7.686864,First British bombing of Italy with a raid on Turin.
27,0,6,26,1940,United Kingdom,Unknown,Unknown,Unknown,Unknown,The RAF Advanced Air Striking Force disbanded after beginning operations in France in May
28,1,7,24,1940,Germany,Lisieux ,France,49.14592,0.227849,Ferrying of Luftwaffe aircraft to the Channel Coast ended the first phase of the Battle of Britain
29,1,8,9,1940,United Kingdom,Birmingham,England,52.48624,-1.8904,The Birmingham Blitz began and (along with Hull Blitz) became the basis for the RAF dehousing bombing policy in 1942.
30,1,8,25,1940,United Kingdom,Berlin,Germany,52.52001,13.40495,First RAF raid on Berlin
31,1,9,7,1940,Germany,London,England,51.50735,-0.12776,The Blitz bombing of Britain began with 57 nights of air raids
32,0,9,8,1940,United Kingdom,Farmingtin,England,51.83611,-1.80497,"Three Dornier 17 bombers are downed by a single shot from a ""Territorial gun crew"" near Farnington.9"
33,1,9,9,1940,Italy,Tel Aviv,Isreal,32.0853,34.78177,A bombing raid on Tel Aviv caused 137 deaths.
34,1,10,19,1940,Italy,Manana,Baharain,26.22852,50.58605,"Four SM.82 bombers attacked American-operated oil refineries in the British Protectorate of Bahrain, damaging the local refineries. The raid also struck Dhahran in Saudi Arabia, but causing little damage."
35,0,9,15,1940,Germany,London,England,51.50735,-0.12776,"In a single day, the Luftwaffe loses 60 aircraft over England during the Battle of Britain"
36,1,11,30,1940,Germany,Birmingham,England,52.48624,-1.8904,The second phase of The Blitz began against British industrial and port cities
37,1,1,21,1941,Germany,Berlin,Germany,52.52001,13.40495,"As revenge for the British raids on Berlin, Germany started the Baby Blitz (planned since November 27).6"
38,1,2,10,1941,United Kingdom,Rome,Italy,41.90278,12.49637,"Operation Colossus, the first British paratrooper raid, blew up an Italian aqueduct.[specify]"
39,1,3,31,1941,United Kingdom,Emden,Germany,53.3594,7.20601,"A bombing raid on Emden is the first use of the 4,000 lb (1,800 kg) HC ""cookie"" blockbuster bomb"
40,1,4,15,1941,Germany,London,England,51.50735,-0.12776,"The Belfast Blitz kills 1000, the greatest loss of British lives outside London from a night raid."
41,1,5,10,1941,Germany,London,England,51.50735,-0.12776,"The longest blitz air raid on london killing 2324 people and 11,000 houses."
