,Month,Day,Year,Country,Success,Details,City under attack,Country,Latitude,Longitude
0,9,1,1939,Germany,1,At 4:40am the Luftwaffe starts World War II with the terror bombing of the Polish city of Wieluń. At 8:00am German ground forces cross the Polish border launching the invasion of Poland.,Wielun,Poland,51.2186,18.56892
1,9,1,1939,Germany,1,The Luftwaffe begins operation Wasserkante as part of the invasion of Poland.  The first air attacks against Warsaw start.,Warsaw,Poland,52.22968,21.01223
2,9,2,1939,Poland,1,Single PZL.23B of the 21st Squadron of Polish Air Force bombs a factory in Ohlau. The attack represented the first Allied bombing raid to be conducted against a target in territory within the Third Reich.,Olawa,Poland,50.94593,17.2924
3,9,3,1939,United Kingdom,0,"Flying officer Andrew McPherson is the first RAF pilot to cross the German coast after Britain declared war on Nazi Germany. Flying a Bristol Blenheim from 139 Squadron, his mission is to identify German maritime targets around Wilhelmshaven.",Wilhelmshaven,Germany,53.53234,8.106872
4,9,3,1939,United Kingdom,0,The RAF launches its first raid of the war over Germany territory. Eighteen Handley Page Hampdens and nine Vickers Wellingtons are sent to attack the German warships moored at the Wilhelmshaven naval base. However poor visibility prevents the bombers from finding any targets before nightfall so they return.,Wilhelmshaven,Germany,53.53234,8.106872
5,9,4,1939,United Kingdom,0,The RAF launches another bombing operation against German shipping. Fourteen Wellingtons from 9 and 149 Squadrons attack Brunsbuttel and 15 Bristol Blenheims from 107 and 110 Squadrons raid Wilhelmshaven bay. Five Blenheims and three Vickers Wellingtons are shot down through a combination of Messerschmitt Bf 109s and flak. They become the first British aircraft casualties on the Western Front.,Wilhelmshaven,Germany,53.53234,8.106872
6,9,4,1939,United Kingdom,0,"The first British airman to be taken prisoner was Sergeant George Booth, a RAF Observer from 107 Squadron. He was captured after his Bristol Blenheim was shot down over the German coast.",Wilhelmshaven,Germany,53.53234,8.106872
7,9,13,1939,Germany,1,The Bombing of Frampol was the war's first area bombardment,Frampol,Poland,50.67155,22.67065
8,9,20,1939,United Kingdom,1,"The first recorded RAF ""kill"" of the Second World War is claimed by air observer Sergeant F Letchford aboard a Fairey Battle flown by Flying Officer LH Baker from 88 Squadron.",Over Germany - France Border,,#N/A,#N/A
9,9,27,1939,Germany,1,"The Luftwaffe ceases its bombing campaign against Warsaw after its Polish garrison surrenders to German forces. Approximately 1,150 sorties were flown by a wide variety of aircraft, including obsolete Junkers Ju 52/3m bombers.",Warsaw ,Poland,52.22968,21.01223
