StationID,FromDate,ToDate,Stations,Latitude,Longitude,StationName,State
1,19370101,19860630,478,47.8413,8.8493,Aach,Baden-Wrttemberg
3,18910101,20110331,202,50.7827,6.0941,Aachen,Nordrhein-Westfalen
44,19710301,20190202,44,52.9336,8.237,Groﬂenkneten,Niedersachsen
52,19730101,20011231,46,53.6623,10.199,Ahrensburg-Wulfsdorf,Schleswig-Holstein
61,19750701,19780831,339,48.8443,12.6171,Aiterhofen,Bayern
70,19730601,19860930,712,48.2052,9.0371,Albstadt-Ebingen,Baden-Wrttemberg
71,19861101,20190202,759,48.2156,8.9784,Albstadt-Badkap,Baden-Wrttemberg
72,19781001,19950531,794,48.2766,9.0001,Albstadt-Onstmettingen,Baden-Wrttemberg
73,19590301,20190202,340,48.6159,13.0506,Aldersbach-Kriestorf,Bayern
78,19610101,20190202,65,52.4853,7.9126,Alfhausen,Niedersachsen
91,19781101,20190202,300,50.7446,9.345,Alsfeld-Eifa,Hessen
93,19771201,19781031,269,50.7691,9.2542,Alsfeld-Reibertenrod,Hessen
98,19470101,19541231,780,51.189,8.4671,Altastenberg,Nordrhein-Westfalen
102,19980101,20190202,32,53.8633,8.1275,Leuchtturm Alte Weser,Niedersachsen
106,19730101,19960229,500,51.7976,10.4429,Altenau,Niedersachsen
116,19470101,19730531,213,50.9833,12.4333,Altenburg,Th-ringen
125,20000702,20190202,756,47.8342,10.8667,Altenstadt,Bayern
129,19910101,20061231,33,53.6893,13.242,Altentreptow,Mecklenburg-Vorpommern
131,20041101,20190202,296,51.0881,12.9326,Geringswalde-Altgeringswalde,Sachsen
132,19531211,19870930,750,49.7725,12.3891,Altglash-tte,Bayern
142,19550101,20190202,510,48.406,11.3117,Altom-nster-Maisbrunn,Bayern
150,19510101,20190202,215,49.7273,8.1164,Alzey,Rheinland-Pfalz
151,19470101,20190202,383,49.4691,11.8546,Amberg-Unterammersricht,Bayern
154,19940101,20190202,515,48.0197,12.2924,Amerang-Pfaffing,Bayern
161,20110901,20190202,75,50.4237,7.4202,Andernach,Rheinland-Pfalz
164,19470101,20190202,54,53.0316,13.9908,Angerm-nde,Brandenburg
167,20040901,20190202,9,53.8412,13.6846,Anklam,Mecklenburg-Vorpommern
169,19470101,19661231,630,50.573,13.0053,Annaberg-Buchholz,Sachsen
172,19690501,19911130,395,52.2486,9.5056,Annaturm,Niedersachsen
174,19840301,19871231,250,49.1886,7.9766,Annweiler-Bindersbach,Rheinland-Pfalz
175,19520101,19760430,413,49.2964,10.5751,Ansbach,Bayern
176,19760601,19951130,481,49.2475,10.5826,Ansbach-Claffheim,Bayern
177,19470501,19571031,418,49.3158,10.5815,Ansbach-Hennenbach,Bayern
183,19470101,20190202,42,54.6792,13.4343,Arkona,Mecklenburg-Vorpommern
184,19470101,19660630,55,52.6769,12.0077,Arneburg,Sachsen-Anhalt
185,19460101,19571231,3,54.6289,9.9294,Arnis,Schleswig-Holstein
186,19470101,19980930,218,51.3773,8.0713,Arnsberg,Nordrhein-Westfalen
191,19860401,20190202,220,49.9695,9.9113,Arnstein-M-desheim,Bayern
193,19680101,19971031,232,51.3845,9.082,Arolsen-Neu Berich,Hessen
198,19540101,20190202,164,51.3745,11.292,Artern,Th-ringen
202,19470101,19511231,110,49.9778,9.1114,Aschaffenburg,Bayern
207,19470101,19641231,105,51.7498,11.4667,Aschersleben,Sachsen-Anhalt
211,19810901,19991231,200,50.58,8.4685,Aﬂlar Klein-Altenst-dten,Hessen
217,19410101,20190202,672,47.8774,11.3642,Attenkam,Bayern
221,19850801,19900531,483,48.5515,11.7117,Au i.d.Hallertau-G-nzenhausen,Bayern
222,19770101,20190202,387,50.5907,12.714,Aue,Sachsen
231,19010101,19740430,490,48.3723,10.8948,Augsburg (Sankt Stephan),Bayern
232,19470101,20190202,461,48.4254,10.942,Augsburg,Bayern
243,19580901,20061231,4,53.4621,7.467,Aurich,Niedersachsen
257,19490101,20190202,240,48.727,8.2458,Baden-Baden-Geroldsau,Baden-Wrttemberg
259,19470101,20190202,273,47.8064,7.6387,M-llheim,Baden-Wrttemberg
268,19540101,19961231,622,48.5293,8.2727,Baiersbronn-Obertal,Baden-Wrttemberg
273,19861201,19900430,467,47.8413,9.6606,Baindt,Baden-Wrttemberg
282,19490101,20190202,240,49.8742,10.9206,Bamberg,Bayern
283,19480101,19591231,382,49.8808,10.8695,Bamberg-Altenburg,Bayern
284,18790101,19581231,282,49.88,10.88,Bamberg (Sternwarte),Bayern
288,19910101,19980831,3,53.8409,13.7549,Bargischow-Gnevezin,Mecklenburg-Vorpommern
294,19920201,20190202,110,52.3199,9.43,Barsinghausen-Hohenbostel,Niedersachsen
298,19470101,20190202,3,54.3406,12.7108,Barth,Mecklenburg-Vorpommern
303,19980101,20190202,55,52.0614,13.4996,Baruth,Brandenburg
314,19450606,20190202,232,51.1604,14.5042,Kubsch-tz Kr. Bautzen,Sachsen
320,19470101,20190202,350,49.9667,11.5197,Heinersreuth-Vollhof,Bayern
